accuracy,auroc_macro,auroc_micro,bucket,count_class_0,count_class_1,count_class_2,count_class_3,documents,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_macro,f1_micro,method,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_macro,precision_micro,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_macro,recall_micro,seed,tpr_at_1_fpr_class_0,tpr_at_1_fpr_class_1,tpr_at_1_fpr_class_2,tpr_at_1_fpr_class_3,tpr_at_1_fpr_macro,tpr_at_1_fpr_micro,tpr_at_1_fpr_mixed_avg,tpr_at_5_fpr_class_0,tpr_at_5_fpr_class_1,tpr_at_5_fpr_class_2,tpr_at_5_fpr_class_3,tpr_at_5_fpr_macro,tpr_at_5_fpr_micro,tpr_at_5_fpr_mixed_avg
0.8856304985337243,0.9648810989693597,0.9714341408599284,0–200,87,91,149,14,341,0.9230769230769231,0.8290155440414507,0.912751677852349,0.7272727272727273,0.8480292180608626,0.8856304985337243,Single Trace,0.9512195121951219,0.7843137254901961,0.912751677852349,1.0,0.9120712288844167,0.8856304985337243,0.896551724137931,0.8791208791208791,0.912751677852349,0.5714285714285714,0.8149632131349327,0.8856304985337243,2026,0.8160919540229885,0.25274725274725274,0.6577181208053692,0.5714285714285714,0.5744964747510455,0.5806451612903226,0.41208791208791207,0.9655172413793104,0.8131868131868132,0.8859060402684564,0.6428571428571429,0.8268668094229307,0.9002932551319648,0.7280219780219781
0.9424198250728864,0.9831124170932541,0.9871584827183686,200–400,329,349,591,103,1372,0.9847094801223242,0.9320113314447592,0.9476309226932669,0.7955801104972375,0.9149829611893969,0.9424198250728864,Single Trace,0.9907692307692307,0.9215686274509803,0.9313725490196079,0.9230769230769231,0.9416968325791855,0.9424198250728864,0.9787234042553191,0.9426934097421203,0.9644670050761421,0.6990291262135923,0.8962282363217935,0.9424198250728864,2026,1.0,0.8939828080229226,0.5380710659898477,0.7669902912621359,0.7997610413187266,0.9067055393586005,0.8304865496425293,1.0,0.9713467048710601,0.9560067681895094,0.8252427184466019,0.9381490478767929,0.9715743440233237,0.898294711658831
0.9578503688092729,0.9846570637499126,0.9886168606667474,400–600,248,214,432,55,949,0.9939393939393939,0.9458823529411765,0.9605411499436303,0.7912087912087912,0.922892922008248,0.9578503688092729,Single Trace,0.9959514170040485,0.95260663507109,0.9362637362637363,1.0,0.9712054470847187,0.9578503688092729,0.9919354838709677,0.9392523364485982,0.9861111111111112,0.6545454545454545,0.8929610964940329,0.9578503688092729,2026,1.0,0.8925233644859814,0.6805555555555556,0.7636363636363637,0.8341788209194752,0.9409905163329821,0.8280798640611725,1.0,0.9719626168224299,0.9837962962962963,0.8,0.9389397282796816,0.9768177028451,0.8859813084112149
0.9915014164305949,0.998934191363853,0.9984270799059458,600–800,87,99,151,16,353,1.0,0.9949238578680203,0.9901639344262295,0.9333333333333333,0.9796052814068958,0.9915014164305949,Single Trace,1.0,1.0,0.9805194805194806,1.0,0.9951298701298701,0.9915014164305949,1.0,0.98989898989899,1.0,0.875,0.9662247474747475,0.9915014164305949,2026,1.0,1.0,1.0,0.9375,0.984375,0.9971671388101983,0.96875,1.0,1.0,1.0,0.9375,0.984375,0.9971671388101983,0.96875
0.9945945945945946,0.9997707917579612,0.998373508643779,800+,49,47,83,6,185,0.9896907216494846,0.9894736842105263,1.0,1.0,0.9947911014650027,0.9945945945945946,Single Trace,1.0,0.9791666666666666,1.0,1.0,0.9947916666666666,0.9945945945945946,0.9795918367346939,1.0,1.0,1.0,0.9948979591836735,0.9945945945945946,2026,0.9795918367346939,1.0,1.0,1.0,0.9948979591836735,0.9945945945945946,1.0,1.0,1.0,1.0,1.0,1.0,0.9945945945945946,1.0
0.8563049853372434,0.9537855899597083,0.9658084009138782,0–200,87,91,149,14,341,0.9047619047619048,0.7955801104972375,0.8896103896103896,0.56,0.787488101217383,0.8563049853372434,Single Trace,0.9382716049382716,0.8,0.8616352201257862,0.6363636363636364,0.8090676153569235,0.8563049853372434,0.8735632183908046,0.7912087912087912,0.9194630872483222,0.5,0.7710587742119795,0.8563049853372434,3407,0.8160919540229885,0.3956043956043956,0.5302013422818792,0.5,0.5604744229773158,0.533724340175953,0.44780219780219777,0.9770114942528736,0.7692307692307693,0.7785234899328859,0.6428571428571429,0.7919057240684179,0.8709677419354839,0.7060439560439561
0.9409620991253644,0.9842005467826386,0.9873590262843996,200–400,329,349,591,103,1372,0.9862595419847329,0.934876989869754,0.9429280397022333,0.7936507936507936,0.9144288413018784,0.9409620991253644,Single Trace,0.99079754601227,0.9444444444444444,0.9223300970873787,0.872093023255814,0.9324162776999767,0.9409620991253644,0.9817629179331308,0.9255014326647565,0.9644670050761421,0.7281553398058253,0.8999716738699637,0.9409620991253644,3407,1.0,0.8223495702005731,0.6903553299492385,0.7281553398058253,0.8102150599889092,0.8469387755102041,0.7752524550031992,1.0,0.9742120343839542,0.9576988155668359,0.8155339805825242,0.9368612076333286,0.9657434402332361,0.8948730074832392
0.9494204425711275,0.9868965521938792,0.9916598286403561,400–600,248,214,432,55,949,0.9959677419354839,0.9193154034229829,0.9508928571428571,0.8247422680412371,0.9227295676356402,0.9494204425711275,Single Trace,0.9959677419354839,0.9641025641025641,0.9181034482758621,0.9523809523809523,0.9576386766737157,0.9494204425711275,0.9959677419354839,0.8785046728971962,0.9861111111111112,0.7272727272727273,0.8969640633041296,0.9494204425711275,3407,1.0,0.883177570093458,0.7662037037037037,0.7818181818181819,0.8577998639038359,0.9241306638566913,0.8324978759558199,1.0,0.985981308411215,0.9791666666666666,0.8545454545454545,0.954923357405834,0.9778714436248683,0.9202633814783348
0.9660056657223796,0.9955400376656327,0.995057874364345,600–800,87,99,151,16,353,1.0,0.9578947368421052,0.961038961038961,0.8823529411764706,0.9503216597643842,0.9660056657223796,Single Trace,1.0,1.0,0.9426751592356688,0.8333333333333334,0.9440021231422505,0.9660056657223796,1.0,0.9191919191919192,0.9801324503311258,0.9375,0.9592060923807613,0.9660056657223796,3407,1.0,0.9595959595959596,0.9470198675496688,0.9375,0.9610289567864071,0.9631728045325779,0.9485479797979798,1.0,0.9696969696969697,0.9933774834437086,0.9375,0.9751436132851696,0.9858356940509915,0.9535984848484849
0.9675675675675676,0.999265167542893,0.9974287801314828,800+,49,47,83,6,185,0.9896907216494846,0.9438202247191011,0.9651162790697675,1.0,0.9746568063595883,0.9675675675675676,Single Trace,1.0,1.0,0.9325842696629213,1.0,0.9831460674157303,0.9675675675675676,0.9795918367346939,0.8936170212765957,1.0,1.0,0.9683022145028224,0.9675675675675676,3407,1.0,0.8936170212765957,1.0,1.0,0.9734042553191489,0.9567567567567568,0.9468085106382979,1.0,1.0,1.0,1.0,1.0,0.9891891891891892,1.0
